,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
1," ""3-1""",31.0069,-88.0103,5151.732,1089135.594,1735.369,182.88,7.821168,91.44,291.8166667,13782.7334,121999.3516,135782.085
2," ""3-2""",31.0069,-88.0103,4713.673,980673.552,1557.848,182.88,7.821168,91.44,291.8166667,12372.81738,111625.5703,123998.3877
3," ""3-3""",31.0069,-88.0103,7734.442,1670344.121,2690.522,182.88,7.821168,91.44,291.8166667,21368.79883,183161.1094,204529.9082
4," ""3-4""",31.0069,-88.0103,10991.681,2276615.225,2772.341,182.88,4.169664,89.3064,331.0111111,22018.625,260296.5313,282315.1563
5," ""3-5""",31.0069,-88.0103,24022.057,4921240.125,7923.002,182.88,7.62,98.1456,306.65,62926.45703,568871.875,631798.332
6," ""7-1""",34.0128,-85.9708,3822.029,289669.6,851.101,91.44,4.572,104.5464,282.5944444,20328.35547,119000.9141,139329.2695
7," ""7-2""",34.0128,-85.9708,4380.953,325115.475,883.384,91.44,4.572,104.5464,282.5944444,21099.42773,136403.3125,157502.7402
8," ""8-10""",33.6446,-87.2003,41963.194,4947871.45,6810.89,230.124,11.5824,94.1832,289.8166667,116623.0469,1159355.5,1275978.547
9," ""8-6""",33.6446,-87.2003,8032.553,564566.434,1181.744,106.68,7.3152,106.0704,287.0388889,20235.0332,221922.6875,242157.7207
10," ""8-7""",33.6446,-87.2003,10477.728,744146.541,1585.716,106.68,7.3152,106.0704,287.0388889,27152.25781,289477.7813,316630.0391
11," ""8-8""",33.6446,-87.2003,10429.456,949943.925,1753.841,230.124,11.5824,94.1832,289.8166667,30031.06836,288144.0938,318175.1621
12," ""8-9""",33.6446,-87.2003,10364.655,935335.6,1743.498,230.124,11.5824,94.1832,289.8166667,29853.96289,286353.8125,316207.7754
13," ""10-1""",32.6017,-87.7811,18705.131,1999615.425,2888.447,152.4,7.3914,86.868,284.7055556,32499.37109,507744.625,540243.9961
14," ""10-2""",32.6017,-87.7811,19154.969,2068945.8,3492.865,152.4,7.3914,86.868,284.7055556,39299.98047,519955.2813,559255.2617
15," ""26-1""",33.2442,-86.4567,19790.555,1602602.214,2883.051,228.6,10.1346,83.5152,277.3722222,42974.77734,549665.8125,592640.5898
16," ""26-2""",33.2442,-86.4567,18470.975,1492409.686,2721.192,228.6,10.1346,83.5152,277.3722222,40562.10547,513015.6563,553577.7617
17," ""26-3""",33.2442,-86.4567,18365.748,1530996.849,3140.723,228.6,10.11936,79.248,288.2611111,46815.63672,510093.0938,556908.7305
18," ""26-4""",33.2442,-86.4567,18220.279,1520825.751,3105.384,228.6,10.11936,79.248,288.2611111,46288.875,506052.7188,552341.5938
19," ""26-5""",33.2442,-86.4567,55646.635,6198860.325,7988.173,230.124,10.3632,90.5256,287.4833333,119071.75,1545538,1664609.75
20," ""47-1""",34.7439,-87.8486,6792.673,1391672.189,3011.755,183.4896,7.98576,93.2688,305.8166667,44698.98047,197752.0313,242451.0117
21," ""47-2""",34.7439,-87.8486,6746.692,1369902.155,2961.008,183.4896,7.98576,93.2688,305.8166667,43945.81641,196413.4063,240359.2227
22," ""47-3""",34.7439,-87.8486,6772.909,1363103.922,2957.488,183.4896,7.98576,93.2688,305.8166667,43893.57422,197176.6563,241070.2305
23," ""47-4""",34.7439,-87.8486,6278.43,1257971.195,2701.011,183.4896,7.98576,93.2688,305.8166667,40087.07031,182781.1094,222868.1797
24," ""47-5""",34.7439,-87.8486,13351.794,2930276.675,3090.266,152.4,7.22376,89.0016,297.5388889,45864.19922,388704.7813,434568.9805
25," ""50-1""",34.8825,-85.7547,3905.855,792809.105,1648.644,304.8,8.2296,84.4296,323.8444444,34982.76172,125152.4375,160135.1992
26," ""50-2""",34.8825,-85.7547,3761.227,761470.081,1575.38,304.8,8.2296,84.4296,323.8444444,33428.16016,120518.2422,153946.4023
27," ""50-3""",34.8825,-85.7547,3950.224,802822.592,1673.145,304.8,8.2296,84.4296,323.8444444,35502.64844,126574.1328,162076.7813
28," ""50-4""",34.8825,-85.7547,3491.233,697208.03,1441.538,304.8,8.2296,84.4296,323.8444444,30588.1543,111867.0234,142455.1777
29," ""50-5""",34.8825,-85.7547,3530.615,704819.1,1470.458,304.8,8.2296,84.4296,323.8444444,31201.8125,113128.9063,144330.7188
30," ""50-6""",34.8825,-85.7547,4121.565,835287.568,1740.191,304.8,8.2296,84.4296,323.8444444,36925.30469,132064.2813,168989.5859
31," ""50-7""",34.8825,-85.7547,6659.301,2671354.725,3144.435,152.4,6.33984,53.34,307.5388889,66722.10938,213379.0938,280101.2031
32," ""50-8""",34.8825,-85.7547,4087.084,3527303.1,4489.849,152.4,7.37616,54.864,294.7611111,95270.59375,130959.4297,226230.0234
33," ""51-1""",32.0306,-93.5692,20907.73,5594655.603,10890.92,160.02,7.62,49.6824,301.4833333,153689.0156,570020,723709.0156
34," ""56-1""",31.4858,-87.9106,3900.579,688614.35,1463.95,126.492,5.54736,39.0144,290.3722222,12084.53125,95858.44531,107942.9766
35," ""56-2""",31.4858,-87.9106,6501.944,1990588.15,4649.388,126.492,5.54736,39.0144,290.3722222,38379.50391,159788.1406,198167.6445
36," ""56-3""",31.4858,-87.9106,7475.702,2051191.6,4767.817,121.6152,5.0292,39.624,271.2611111,39357.10547,183718.6563,223075.7617
37," ""59-1""",40.8538,-98.3481,2636.859,895952.35,1503.579,125.5776,3.660648,76.2,255.3805556,29800.24414,71424.53125,101224.7754
38," ""60-1""",40.5806,-98.3106,2330.386,706471.394,1061.274,76.2,2.9718,88.392,256.0203333,21305.62305,65191.46484,86497.08789
39," ""87-1""",35.4159,-108.082,969.543,1559060.702,2865.338,137.16,6.096,38.1,283.15,8134.895996,18505.23828,26640.13428
40," ""108-SGU1""",37.9306,-100.9725,1153.896,2534424.062,3925.731,144.4752,4.977384,56.388,320.9277778,42321.46484,27025.7207,69347.18555
41," ""113-1""",34.9394,-110.3033,851.489,1030006.199,1848.03,76.2,3.41376,36.576,289.8166667,5417.088867,18646.83789,24063.92676
42," ""113-2""",34.9394,-110.3033,1379.24,2248875.592,3681.506,167.64,4.48056,51.2064,320.9277778,10791.51563,30204.10938,40995.625
43," ""113-3""",34.9394,-110.3033,8726.477,2128822.603,3573.804,167.64,5.334,94.1832,306.8166667,10475.81152,191101.9531,201577.7646
44," ""113-4""",34.9394,-110.3033,10189.688,3118570.429,5631.249,167.64,5.85216,36.576,303.9277778,16506.75391,223144.9375,239651.6914
45," ""126-4""",32.16,-110.9047,2671.172,683739.844,1410.067,75.5904,3.10896,87.4776,299.2611111,4492.783691,74775.79688,79268.58057
46," ""127-1""",34.0825,-99.1753,3793.853,4431483.1,7352.217,137.7696,7.0104,36.576,309.0388889,67684.89844,96176.75,163861.6484
47," ""130-1""",33.3692,-80.1119,2978.659,4616654.679,1940.467,182.88,6.7056,45.72,302.5944444,30686.24023,66193.72656,96879.9668
48," ""130-2""",33.3692,-80.1119,6432.576,4784609.663,2061.412,182.88,6.7056,45.72,294.2611111,32598.8457,142948.9531,175547.7988
49," ""130-3""",33.3692,-80.1119,0,0,181.813,148.7424,7.62,37.1856,293.65,2875.162354,0,2875.162354
50," ""136-1""",29.7333,-81.6339,11697.628,4711455.05,10751.857,205.74,10.9728,39.0144,269.8166667,66953.21875,226690.3594,293643.5781
51," ""136-2""",29.7333,-81.6339,11075.646,5025713.975,11967.155,205.74,10.9728,39.0144,269.8166667,74521.03125,214636.8594,289157.8906
52," ""160-2""",32.0619,-109.8931,1714.599,1813210.323,4112.828, NA, NA, NA, NA,13155.84082,44338.89844,57494.73926
53," ""160-3""",32.0619,-109.8931,1304.08,1578142.18,3434.28, NA, NA, NA, NA,10985.34668,33723.02344,44708.37012
54," ""165-1""",36.1906,-95.2889,13049.766,3717057.904,7979.843,153.924,6.096,93.2688,314.3166667,157976.5625,369693.375,527669.9375
55," ""165-2""",36.1906,-95.2889,3750.935,3908491.445,6802.735,153.924,5.54736,91.44,292.0138889,134673.4063,106262.125,240935.5313
56," ""207-1""",30.4311,-81.5508,9075.4,5133340.378,10509.253,195.072,6.79704,47.5488,298.0388889,53100.50781,196455.875,249556.3828
57," ""207-2""",30.4311,-81.5508,8904.572,4954426.973,11188.761,195.072,6.79704,47.5488,295.65,56533.88672,192757.9531,249291.8398
58," ""298-LIM1""",31.4219,-96.2525,9616.188,7186536.292,6821.973,137.16,8.19912,76.2,305.3166667,134966.7656,292519.625,427486.3906
59," ""298-LIM2""",31.4219,-96.2525,6300.607,5869233.116,5412.159,137.16,8.19912,76.2,305.3166667,107074.8359,191661.3281,298736.1641
60," ""384-71""",41.4947,-88.125,3696.707,1661616.784,937.811, NA, NA, NA, NA,16654.69727,136422.3125,153077.0098
61," ""384-72""",41.4947,-88.125,3423.471,1548654.791,860.739, NA, NA, NA, NA,15285.9668,126338.8906,141624.8574
62," ""384-81""",41.4947,-88.125,3592.735,1610265.911,840.694, NA, NA, NA, NA,14929.98633,132585.3594,147515.3457
63," ""384-82""",41.4947,-88.125,3646.923,1630119.464,846.316, NA, NA, NA, NA,15029.82715,134585.125,149614.9521
64," ""465-3""",39.67,-105.0028,879.931,438480.846,1705.932, NA, NA, NA, NA,14962.38086,21312.95508,36275.33594
65," ""465-4""",39.67,-105.0028,1614.377,882506.585,1157.18, NA, NA, NA, NA,10149.38867,39102.09766,49251.48633
