"","x","y","2006","2011"
"1",-2286000,378000,1831.41937025814,1866.49686116797
"2",-2286000,414000,108.830282493286,110.91472765471
"3",-2250000,90000,2498.39395074722,2578.36748186342
"4",-2250000,162000,30756.1389349577,31991.8376991011
"5",-2250000,198000,38794.6080703457,40153.1522890697
"6",-2250000,234000,10120.4870420131,10177.9575506036
"7",-2250000,270000,8583.32759233135,8632.06914005356
"8",-2250000,306000,5706.9016155791,5739.30900239376
"9",-2250000,342000,12233.0498128162,12438.9180042086
"10",-2250000,378000,18475.5483401259,18829.4137024125
"11",-2250000,414000,12355.6022110214,12592.2511901034
"12",-2250000,450000,630.861822775756,642.944828019203
"13",-2214000,-18000,61588.6043584635,64160.6753911388
"14",-2214000,18000,223681.149320137,232844.87639414
"15",-2214000,54000,461882.701522915,483061.998057284
"16",-2214000,90000,131045.412741905,135240.173296146
"17",-2214000,126000,157098.906837334,162760.287052148
"18",-2214000,162000,147077.696540114,152986.881962641
"19",-2214000,198000,55095.6360718115,56949.5236831139
"20",-2214000,234000,13848.7466829653,13931.424680804
"21",-2214000,270000,12579.1043140064,12650.5846709894
"22",-2214000,306000,11955.7664429944,12024.3521325813
"23",-2214000,342000,10934.0411599395,11126.7114896358
"24",-2214000,378000,16165.3645884128,16472.5102005884
"25",-2214000,414000,18491.7266007756,18845.9018280773
"26",-2214000,450000,17591.3607783281,17928.2911438218
"27",-2214000,486000,9269.7425342955,9437.04081278
"28",-2214000,522000,6002.1162986495,6087.00674575032
"29",-2214000,558000,3346.00728339697,3347.60784268834
"30",-2214000,594000,2767.72767726833,2735.67850147745
"31",-2214000,630000,1268.86905802713,1254.17606354277
"32",-2214000,666000,357.891343505527,353.747105372474
"33",-2178000,-162000,10082.5627311695,10414.5411764908
"34",-2178000,-126000,35819.3245105373,36998.2937438129
"35",-2178000,-90000,52991.3712836915,54735.547010796
"36",-2178000,-54000,45620.927304928,47438.1133013415
"37",-2178000,-18000,398991.675298344,418243.06868661
"38",-2178000,18000,715305.177233804,748818.47438445
"39",-2178000,54000,950134.769040655,994315.157025465
"40",-2178000,90000,266252.453923225,277107.867771108
"41",-2178000,126000,116431.158704754,121020.694884244
"42",-2178000,162000,83304.0253660656,86330.6543225451
"43",-2178000,198000,27521.3188224525,27838.1932242495
"44",-2178000,234000,20465.0807857685,20652.3521881639
"45",-2178000,270000,14786.6150398286,14917.9803740555
"46",-2178000,306000,9544.27651321943,9670.69111370992
"47",-2178000,342000,4014.53717330877,4073.44278022331
"48",-2178000,378000,2169.20970458001,2193.40976746645
"49",-2178000,414000,5077.87378260623,5160.87524931289
"50",-2178000,450000,13934.3223017063,14193.3709657224
"51",-2178000,486000,10135.5434837858,10289.6250420658
"52",-2178000,522000,11906.7492788472,12071.5198906996
"53",-2178000,558000,13119.7265657776,13198.3768445049
"54",-2178000,594000,11620.3123999181,11648.052237853
"55",-2178000,630000,10793.6650032704,10662.9773891152
"56",-2178000,666000,14976.6197586029,14789.839743621
"57",-2178000,702000,5579.14869458719,5509.15154365109
"58",-2142000,-378000,3024.00417504391,3141.15992937805
"59",-2142000,-342000,1129.32536419267,1173.07760700455
"60",-2142000,-306000,9338.53386960803,9700.32668355243
"61",-2142000,-270000,1810.75933462866,1878.67878678156
"62",-2142000,-234000,11488.7385056436,11891.7956546547
"63",-2142000,-198000,30071.6931722328,31123.3917629897
"64",-2142000,-162000,59980.4564516408,61958.6735137222
"65",-2142000,-126000,60361.0332192379,62344.2467427945
"66",-2142000,-90000,46846.4199234551,48308.47934873
"67",-2142000,-54000,220680.886581992,231797.584663803
"68",-2142000,-18000,634815.458926903,668593.471165701
"69",-2142000,18000,818484.18106834,857782.763100597
