year,hyads,hyads_raw,pm25_ensemble,pm25_krewski
1999,"51,000 (46,000-56,000)","55,000 (50,000-60,000)","27,000 (24,000-29,000)","22,000 (14,000-31,000)"
2000,"41,000 (37,000-45,000)","53,000 (48,000-58,000)","22,000 (19,000-24,000)","18,000 (11,000-25,000)"
2001,"42,000 (38,000-46,000)","50,000 (46,000-55,000)","22,000 (20,000-24,000)","18,000 (12,000-25,000)"
2002,"38,000 (34,000-41,000)","49,000 (44,000-54,000)","20,000 (18,000-22,000)","17,000 (10,000-23,000)"
2003,"30,000 (27,000-33,000)","54,000 (48,000-59,000)","16,000 (14,000-17,000)","13,000 (8,400-18,000)"
2004,"29,000 (27,000-32,000)","49,000 (44,000-54,000)","15,000 (14,000-17,000)","13,000 (8,100-18,000)"
2005,"35,000 (32,000-38,000)","52,000 (47,000-57,000)","18,000 (17,000-20,000)","15,000 (9,700-21,000)"
2006,"35,000 (32,000-38,000)","46,000 (42,000-51,000)","18,000 (17,000-20,000)","15,000 (9,700-21,000)"
2007,"37,000 (34,000-41,000)","43,000 (39,000-47,000)","20,000 (18,000-21,000)","16,000 (10,000-23,000)"
2008,"27,000 (24,000-29,000)","36,000 (33,000-40,000)","14,000 (13,000-15,000)","12,000 (7,400-16,000)"
2009,"18,000 (16,000-20,000)","28,000 (26,000-31,000)","9,400 (8,500-10,000)","7,900 (5,000-11,000)"
2010,"14,000 (13,000-16,000)","25,000 (23,000-28,000)","7,600 (6,800-8,300)","6,300 (4,000-8,800)"
2011,"15,000 (13,000-16,000)","24,000 (22,000-26,000)","7,700 (6,900-8,500)","6,500 (4,100-8,900)"
2012,"9,700 (8,800-11,000)","16,000 (15,000-18,000)","5,100 (4,600-5,600)","4,300 (2,700-5,900)"
2013,"8,500 (7,700-9,300)","15,000 (14,000-17,000)","4,500 (4,000-4,900)","3,700 (2,400-5,100)"
2014,"8,000 (7,300-8,800)","15,000 (13,000-16,000)","4,200 (3,800-4,600)","3,500 (2,200-4,900)"
2015,"5,500 (4,900-6,000)","11,000 (9,800-12,000)","2,900 (2,600-3,100)","2,400 (1,500-3,300)"
2016,"3,500 (3,200-3,800)","7,300 (6,600-8,000)","1,800 (1,700-2,000)","1,500 (970-2,100)"
2017,"2,900 (2,700-3,200)","6,100 (5,500-6,700)","1,500 (1,400-1,700)","1,300 (810-1,800)"
2018,"2,800 (2,500-3,000)","6,200 (5,600-6,700)","1,400 (1,300-1,600)","1,200 (760-1,700)"
2019,"2,000 (1,800-2,100)","4,600 (4,200-5,000)","1,000 (930-1,100)","860 (540-1,200)"
2020,"1,600 (1,400-1,700)","3,700 (3,400-4,100)",830 (750-910),690 (440-960)
